year,XN
1750,0.0
1751,-0.001697318399177243
1752,-0.00490159882779006
1753,-0.007848715982196573
1754,-0.011313100285516575
1755,-0.09752943405554661
1756,-0.08132408278850058
1757,-0.06832939276020332
1758,-0.05882038332516804
1759,-0.058129539698856744
1760,-0.06630667055675027
1761,-0.1887619490509923
1762,-0.18295422754463225
1763,-0.1547230829521147
1764,-0.12496802691936161
1765,-0.10422771214882998
1766,-0.08744168469419575
1767,-0.07319571674741333
1768,-0.05589246786377715
1769,-0.03852815833987441
1770,-0.02140449031433085
1771,-0.01144550897187631
1772,-0.012790952179172872
1773,-0.012009045273926438
1774,-0.011580538829931264
1775,-0.015224864318756132
1776,-0.01868242516688748
1777,-0.020232037479457066
1778,-0.023152234814181886
1779,-0.03208334474457968
1780,-0.03674530517544253
1781,-0.03708058778827588
1782,-0.033341270538746796
1783,-1.0085419430064737
1784,-0.8437788790474472
1785,-0.6692035800355094
1786,-0.5229592985118353
1787,-0.4065925491829111
1788,-0.330338340834046
1789,-0.26932006237767897
1790,-0.2218892512025372
1791,-0.18448127616940904
1792,-0.15495437579176374
1793,-0.1340469054026444
1794,-0.13715084114643675
1795,-0.11538648581786183
1796,-0.19608200778016946
1797,-0.17089718241997714
1798,-0.1450789955717249
1799,-0.12403316471461921
1800,-0.1086105637695836
1801,-0.11164501724376313
1802,-0.09934596894607937
1803,-0.08816265081458324
1804,-0.10765035807966648
1805,-0.10330034457543583
1806,-0.09203492214375054
1807,-0.08430647784409
1808,-0.07911089980873903
1809,-0.9357245671303513
1810,-1.0090831366853317
1811,-0.8917735470039984
1812,-0.7387853093781714
1813,-0.5985237711848775
1814,-0.47824948600890504
1815,-1.8273742595258504
1816,-1.9801671766784885
1817,-1.8356053167253785
1818,-1.5430592794851947
1819,-1.250979176113932
1820,-0.993479415267601
1821,-0.7936663683555036
1822,-0.6415088879252138
1823,-0.5254442537718413
1824,-0.43532209167545494
1825,-0.3650295247411402
1826,-0.3097251251360454
1827,-0.263618324900429
1828,-0.22649413371746185
1829,-0.1972737447211399
1830,-0.17341169346123053
1831,-0.3451295298874522
1832,-0.44003710567283333
1833,-0.4371161146957034
1834,-0.3881690410484509
1835,-0.9341766689786026
1836,-0.9127084108969903
1837,-0.7788512385117453
1838,-0.6373655716938393
1839,-0.5177793082117369
1840,-0.42416663261593984
1841,-0.35091419641012905
1842,-0.2952245829070057
1843,-0.2594330439739309
1844,-0.22834450347090482
1845,-0.20318165060532226
1846,-0.19164043638691067
1847,-0.18097746626973207
1848,-0.16509519347146367
1849,-0.14458443993192038
1850,-0.14324319740007926
1851,-0.1398843689444363
1852,-0.13027863511355708
1853,-0.12390748489794746
1854,-0.11821674081717269
1855,-0.12196571493246379
1856,-0.24049838016139918
1857,-0.39586054381989705
1858,-0.4164631729163944
1859,-0.3753189009250779
1860,-0.321344369986579
1861,-0.27346481306277765
1862,-0.2739270206347145
1863,-0.26281043005155386
1864,-0.24166578493189916
1865,-0.21636785018234808
1866,-0.1942307649764898
1867,-0.17605355036853843
1868,-0.16227424434515245
1869,-0.1505649957486235
1870,-0.14426513487971418
1871,-0.13268651410353985
1872,-0.12524695629522198
1873,-0.12522170359151955
1874,-0.12373700481003538
1875,-0.12125567278876423
1876,-0.1363735762096363
1877,-0.1451673107287893
1878,-0.14657904705379285
1879,-0.1448704008369919
1880,-0.1398177041502797
1881,-0.13186117067978154
1882,-0.12722634226214835
1883,-0.2674883125288608
1884,-0.6658417333104926
1885,-0.7244768893709798
1886,-0.6888625285168533
1887,-0.6682672013789573
1888,-0.6075945054449186
1889,-0.5842942998258541
1890,-0.5980631201894253
1891,-0.5784866103573288
1892,-0.53624241504592
1893,-0.4602993963325636
1894,-0.3825137192960708
1895,-0.3163815571271192
1896,-0.3220342702664787
1897,-0.32617630103180784
1898,-0.3148209291370145
1899,-0.2849148012790929
1900,-0.25400033963366725
1901,-0.22903431012997802
1902,-0.2691623877947532
1903,-0.4592339329250023
1904,-0.4746147966975616
1905,-0.4312044053799075
1906,-0.37444242809909056
1907,-0.34104566040808276
1908,-0.31617733553601635
1909,-0.28125042572763087
1910,-0.25197033848848793
1911,-0.2296082971059283
1912,-0.26659681450476924
1913,-0.3097874145640338
1914,-0.29824572899760454
1915,-0.265130870699541
1916,-0.22995416885158618
1917,-0.19773059481995572
1918,-0.16859066624726585
1919,-0.1521526208882274
1920,-0.16517981966069709
1921,-0.1751050618761911
1922,-0.17018627529658492
1923,-0.16145919879153434
1924,-0.16137239013100532
1925,-0.15948894788572657
1926,-0.15039938456876267
1927,-0.137968769459832
1928,-0.14142151684246426
1929,-0.15992197862374294
1930,-0.15910064919347197
1931,-0.16015521062409016
1932,-0.17319888909010742
1933,-0.18152892372525287
1934,-0.17837693283411232
1935,-0.17354841339669644
1936,-0.15739222413242304
1937,-0.1423699258032487
1938,-0.13803479230509452
1939,-0.12974992489333034
1940,-0.12325324595277606
1941,-0.11664823799284045
1942,-0.12094314489680186
1943,-0.12846459235341454
1944,-0.12852301909098346
1945,-0.12479087523014795
1946,-0.12115355494005531
1947,-0.10976516968560866
1948,-0.09435978263008682
1949,-0.08842518292009417
1950,-0.08541868245883799
1951,-0.08885704276389315
1952,-0.09649028228021356
1953,-0.10158519142167188
1954,-0.11118559447289532
1955,-0.11062816293227597
1956,-0.10105005403162647
1957,-0.08558329946088351
1958,-0.062435263797635594
1959,-0.0489701204271783
1960,-0.0550157487464682
1961,-0.08300414972660934
1962,-0.11778363353270425
1963,-0.24799903236713067
1964,-0.4302791309021457
1965,-0.4813965019392761
1966,-0.45873741767904636
1967,-0.4120252394340529
1968,-0.4102372394520753
1969,-0.43205551253777835
1970,-0.3945470255949044
1971,-0.33346448993165895
1972,-0.28165199554369263
1973,-0.2584913090586982
1974,-0.2587845437114076
1975,-0.31369733182188264
1976,-0.30713435305484293
1977,-0.2690491054446997
1978,-0.2382138964669792
1979,-0.21301864467507672
1980,-0.18339269226895863
1981,-0.16105494124638123
1982,-0.2990104977754451
1983,-0.47268903263278267
1984,-0.4753158904278856
1985,-0.4258428970122331
1986,-0.3915374370533902
1987,-0.35297645697879554
1988,-0.30759172591922207
1989,-0.25995602249342215
1990,-0.22765794890663127
1991,-0.3504840755797465
1992,-0.6503081011216264
1993,-0.6656104946697676
1994,-0.5928685432376205
1995,-0.5079371611816423
1996,-0.4364815533848405
1997,-0.37439824369736263
1998,-0.31514011720648755
1999,-0.2615967882132648
2000,-0.21764713268288027
2001,-0.18540156874076982
2002,-0.16121496358966814
2003,-0.15373535275864542
2004,-0.14819220916360967
2005,-0.14957396362327247
2006,-0.1397103279094186
2007,-0.13191672133337362
2008,-0.12571028497978484
2009,-0.12072512329984895
2010,-0.11668325581254595
2011,-0.1133729052857886
2012,-0.11063224825165598
2013,-0.10833723629476047
2014,-0.1063924541498917
2015,-0.10472424577108431
2016,-0.1032755362155081
2017,-0.1020019231818293
2018,-0.10086872048683952
2019,-0.09984871637171865
2020,-0.09892046949081003
2021,-0.09806701007542626
2022,-0.09727484702709695
2023,-0.09653320650208243
2024,-0.09583344606966672
2025,-0.09516860236912278
2026,-0.09453304054840056
2027,-0.09392218152857437
2028,-0.09333228896129563
2029,-0.09276030212244209
2030,-0.09220370427900206
2031,-0.09166041855003723
2032,-0.09112872515921809
2033,-0.09060719539734094
2034,-0.09009463869156265
2035,-0.08959005999845004
2036,-0.08909262536371233
2037,-0.08860163397018336
2038,-0.08811649536292963
2039,-0.08763671082311007
2040,-0.08716185808061593
2041,-0.08669157872482745
2042,-0.08622556780456528
2043,-0.08576356521122713
2044,-0.08530534851981772
2045,-0.08485072702614813
2046,-0.08439953676875944
2047,-0.08395163636405495
2048,-0.08350690351497941
2049,-0.08306523207909501
2050,-0.08262652960242833
2051,-0.08219071524203721
2052,-0.08175771801368932
2053,-0.08132747531198486
2054,-0.08089993165919754
2055,-0.08047503764643728
2056,-0.0800527490367696
2057,-0.07963302600490302
2058,-0.0792158324921754
2059,-0.07880113565898902
2060,-0.07838890541968913
2061,-0.07797911404725294
2062,-0.07757173583714001
2063,-0.07716674682131498
2064,-0.07676412452484772
2065,-0.07636384775866664
2066,-0.07596589644302673
2067,-0.07557025145708458
2068,-0.07517689451067322
2069,-0.07478580803496238
2070,-0.07439697508918974
2071,-0.07401037928107335
2072,-0.07362600469887344
2073,-0.07324383585337696
2074,-0.07286385762833619
2075,-0.07248605523811118
2076,-0.07211041419145298
2077,-0.07173692026052171
2078,-0.07136555945436852
2079,-0.07099631799622447
2080,-0.07062918230403667
2081,-0.07026413897377508
2082,-0.0699011747651029
2083,-0.06954027658906461
2084,-0.06918143149749595
2085,-0.06882462667390359
2086,-0.06846984942560032
2087,-0.06811708717691178
2088,-0.0677663274632987
2089,-0.06741755792626121
2090,-0.06707076630891125
2091,-0.06672594045211615
2092,-0.06638306829113029
2093,-0.06604213785264391
2094,-0.06570313725218925
2095,-0.06536605469185167
2096,-0.06503087845824235
2097,-0.06469759692069448
2098,-0.06436619852965127
2099,-0.06403667181521809
2100,-0.06370900538585517
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,0.0
2121,0.0
2122,0.0
2123,0.0
2124,0.0
2125,0.0
2126,0.0
2127,0.0
2128,0.0
2129,0.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,0.0
2137,0.0
2138,0.0
2139,0.0
2140,0.0
2141,0.0
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,0.0
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,0.0
2161,0.0
2162,0.0
2163,0.0
2164,0.0
2165,0.0
2166,0.0
2167,0.0
2168,0.0
2169,0.0
2170,0.0
2171,0.0
2172,0.0
2173,0.0
2174,0.0
2175,0.0
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.0
2181,0.0
2182,0.0
2183,0.0
2184,0.0
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,0.0
2190,0.0
2191,0.0
2192,0.0
2193,0.0
2194,0.0
2195,0.0
2196,0.0
2197,0.0
2198,0.0
2199,0.0
2200,0.0
2201,0.0
2202,0.0
2203,0.0
2204,0.0
2205,0.0
2206,0.0
2207,0.0
2208,0.0
2209,0.0
2210,0.0
2211,0.0
2212,0.0
2213,0.0
2214,0.0
2215,0.0
2216,0.0
2217,0.0
2218,0.0
2219,0.0
2220,0.0
2221,0.0
2222,0.0
2223,0.0
2224,0.0
2225,0.0
2226,0.0
2227,0.0
2228,0.0
2229,0.0
2230,0.0
2231,0.0
2232,0.0
2233,0.0
2234,0.0
2235,0.0
2236,0.0
2237,0.0
2238,0.0
2239,0.0
2240,0.0
2241,0.0
2242,0.0
2243,0.0
2244,0.0
2245,0.0
2246,0.0
2247,0.0
2248,0.0
2249,0.0
2250,0.0
2251,0.0
2252,0.0
2253,0.0
2254,0.0
2255,0.0
2256,0.0
2257,0.0
2258,0.0
2259,0.0
2260,0.0
2261,0.0
2262,0.0
2263,0.0
2264,0.0
2265,0.0
2266,0.0
2267,0.0
2268,0.0
2269,0.0
2270,0.0
2271,0.0
2272,0.0
2273,0.0
2274,0.0
2275,0.0
2276,0.0
2277,0.0
2278,0.0
2279,0.0
2280,0.0
2281,0.0
2282,0.0
2283,0.0
2284,0.0
2285,0.0
2286,0.0
2287,0.0
2288,0.0
2289,0.0
2290,0.0
2291,0.0
2292,0.0
2293,0.0
2294,0.0
2295,0.0
2296,0.0
2297,0.0
2298,0.0
2299,0.0
2300,0.0
2301,0.0
2302,0.0
2303,0.0
2304,0.0
2305,0.0
2306,0.0
2307,0.0
2308,0.0
2309,0.0
2310,0.0
2311,0.0
2312,0.0
2313,0.0
2314,0.0
2315,0.0
2316,0.0
2317,0.0
2318,0.0
2319,0.0
2320,0.0
2321,0.0
2322,0.0
2323,0.0
2324,0.0
2325,0.0
2326,0.0
2327,0.0
2328,0.0
2329,0.0
2330,0.0
2331,0.0
2332,0.0
2333,0.0
2334,0.0
2335,0.0
2336,0.0
2337,0.0
2338,0.0
2339,0.0
2340,0.0
2341,0.0
2342,0.0
2343,0.0
2344,0.0
2345,0.0
2346,0.0
2347,0.0
2348,0.0
2349,0.0
2350,0.0
2351,0.0
2352,0.0
2353,0.0
2354,0.0
2355,0.0
2356,0.0
2357,0.0
2358,0.0
2359,0.0
2360,0.0
2361,0.0
2362,0.0
2363,0.0
2364,0.0
2365,0.0
2366,0.0
2367,0.0
2368,0.0
2369,0.0
2370,0.0
2371,0.0
2372,0.0
2373,0.0
2374,0.0
2375,0.0
2376,0.0
2377,0.0
2378,0.0
2379,0.0
2380,0.0
2381,0.0
2382,0.0
2383,0.0
2384,0.0
2385,0.0
2386,0.0
2387,0.0
2388,0.0
2389,0.0
2390,0.0
2391,0.0
2392,0.0
2393,0.0
2394,0.0
2395,0.0
2396,0.0
2397,0.0
2398,0.0
2399,0.0
2400,0.0
2401,0.0
2402,0.0
2403,0.0
2404,0.0
2405,0.0
2406,0.0
2407,0.0
2408,0.0
2409,0.0
2410,0.0
2411,0.0
2412,0.0
2413,0.0
2414,0.0
2415,0.0
2416,0.0
2417,0.0
2418,0.0
2419,0.0
2420,0.0
2421,0.0
2422,0.0
2423,0.0
2424,0.0
2425,0.0
2426,0.0
2427,0.0
2428,0.0
2429,0.0
2430,0.0
2431,0.0
2432,0.0
2433,0.0
2434,0.0
2435,0.0
2436,0.0
2437,0.0
2438,0.0
2439,0.0
2440,0.0
2441,0.0
2442,0.0
2443,0.0
2444,0.0
2445,0.0
2446,0.0
2447,0.0
2448,0.0
2449,0.0
2450,0.0
2451,0.0
2452,0.0
2453,0.0
2454,0.0
2455,0.0
2456,0.0
2457,0.0
2458,0.0
2459,0.0
2460,0.0
2461,0.0
2462,0.0
2463,0.0
2464,0.0
2465,0.0
2466,0.0
2467,0.0
2468,0.0
2469,0.0
2470,0.0
2471,0.0
2472,0.0
2473,0.0
2474,0.0
2475,0.0
2476,0.0
2477,0.0
2478,0.0
2479,0.0
2480,0.0
2481,0.0
2482,0.0
2483,0.0
2484,0.0
2485,0.0
2486,0.0
2487,0.0
2488,0.0
2489,0.0
2490,0.0
2491,0.0
2492,0.0
2493,0.0
2494,0.0
2495,0.0
2496,0.0
2497,0.0
2498,0.0
2499,0.0
2500,0.0
